;link;eng_name;rus_name;year;duration;country;genre;director_name;rating
48;https://www.kinopoisk.ru/film/4442784/;A través de mi ventana;Из моего окна;2022;116;Испания;драма;Марсаль Форес;
49;https://www.kinopoisk.ru/film/1008397/;;Волшебники;2022;202;Россия;фэнтези;Ренат Давлетьяров;
50;https://www.kinopoisk.ru/film/458/;Monsters, Inc.;Корпорация монстров;2001;200;США;мультфильм;Пит Доктер;8.1
51;https://www.kinopoisk.ru/film/81845/;Sweeney Todd: The Demon Barber of Fleet Street;Суини Тодд, демон-парикмахер с Флит-стрит;2007;116;США;мюзикл;Тим Бёртон;7.7
52;https://www.kinopoisk.ru/film/252667/;Man of Steel;Человек из стали;2013;143;США;фантастика;Зак Снайдер;
53;https://www.kinopoisk.ru/film/1328884/;Escape The Field;Клаустрофобы. Долина дьявола;2022;202;США;триллер;Эмерсон Мур;
54;https://www.kinopoisk.ru/film/577673/;The Place Beyond the Pines;Место под соснами;2012;140;США;триллер;Дерек Сиенфрэнс;7.3
55;https://www.kinopoisk.ru/film/1007049/;Aladdin;Аладдин;2019;128;США;мюзикл;Гай Ричи;7.3
56;https://www.kinopoisk.ru/film/1174293/;tick, tick...BOOM!;Тик-так... БУМ!;2021;120;США;мюзикл;Лин-Мануэль Миранда;7.9
57;https://www.kinopoisk.ru/film/65770/;Salinui chueok;Воспоминания об убийстве;2003;131;Корея Южная;детектив;Пон Джун-хо;7.7
58;https://www.kinopoisk.ru/film/4512501/;The Sea Beast;Морской монстр;2022;115;США;мультфильм;Крис Уильямс;7.0
59;https://www.kinopoisk.ru/film/4369515/;Murder Party;Вечеринка на вылет;2022;103;Франция;комедия;Николя Плескоф;
60;https://www.kinopoisk.ru/film/349/;Il buono, il brutto, il cattivo;Хороший, плохой, злой;1966;178;Италия;приключения;Серджио Леоне;8.5
61;https://www.kinopoisk.ru/film/4472346/;Poker Face;Покерфейс;2022;202;США;боевик;Рассел Кроу;
62;https://www.kinopoisk.ru/film/1236433/;Last Looks;Вальдо;2021;111;США;триллер;Тим Киркби;
63;https://www.kinopoisk.ru/film/820599/;Despicable Me 3;Гадкий я 3;2017;201;США;мультфильм;Кайл Балда;
64;https://www.kinopoisk.ru/film/1313395/;The Addams Family 2;Семейка Аддамс: Горящий тур;2021;202;США;мультфильм;Грег Тирнан;
65;https://www.kinopoisk.ru/film/46708/;;Москва слезам не верит;1979;150;СССР;мелодрама;Владимир Меньшов;8.4
66;https://www.kinopoisk.ru/film/333/;Star Wars;Звёздные войны: Эпизод 4 — Новая надежда;1977;121;США;фантастика;Джордж Лукас;8.1
